,osm_id,amenity,beds,addrcity,opening_ho,shop,addrhousen,addrfull,source,man_made,addrstreet,tourism,rooms,name,geometry,long,lat,nearest_office,nearest_school
5906,5031986986.0,restaurant,,,Mo-Su 10:00-21:00,,,,,,,,,Kaldu segara,POINT (112.6818522 -7.2852408),112.6818522,-7.2852408,0.15224499643075723,0.6695875169381618
5954,5048594154.0,fast_food,,,,,,,,,,,,KFC,POINT (112.6936211 -7.42596),112.6936211,-7.42596,0.070181364824527,1.4174919957363619
5955,5048594155.0,fast_food,,,,,,,,,,,,Warung Bu Warsi,POINT (112.5291199 -8.1878663),112.5291199,-8.1878663,4.203215122588673,7.153930357246758
5957,5048594400.0,restaurant,,,,,,,,,,,,Bakso cak man,POINT (112.7401351 -7.786785),112.7401351,-7.786785,3.906322739413761,14.236642235858994
5963,5048598559.0,restaurant,,,,,,,,,,,,Kasih Karunia,POINT (112.6509817 -7.923359),112.6509817,-7.923359,0.8050879064570723,0.3733758858725816
5972,5059099784.0,restaurant,,,,,,,,,,,,Rosebay,POINT (112.6800726 -7.2968444),112.6800726,-7.2968444,0.5068979860729196,0.6066409126283796
5973,5059100239.0,restaurant,,,,,,,,,,,,Papa Delle,POINT (112.680454 -7.2981306),112.680454,-7.2981306,0.48805111576252574,0.7418457872572272
6031,5106761391.0,restaurant,,,,,,,,,,,,Warung Lesehan,POINT (112.5884554 -7.6075562),112.5884554,-7.6075562,6.96366940623651,2.4106686334410523
6033,5106761927.0,restaurant,,,,,,,,,,,,Warung Bts,POINT (113.0533885 -7.8765016),113.0533885,-7.8765016,0.08438041963252492,21.727311923456483
6034,5106761928.0,fast_food,,,,,,,,,,,,NFC,POINT (112.6848483 -7.5358033),112.6848483,-7.5358033,0.5285153937103921,4.164334332714599
6039,5106762248.0,restaurant,,,,,,,,,,,,Steak hut,POINT (112.6830333 -7.2825375),112.6830333,-7.2825375,0.25445968509889333,0.36932927389551784
6044,5124135502.0,restaurant,,,,,,,,,,,,Ming garden,POINT (112.6984358 -7.2855293),112.6984358,-7.2855293,0.09892243136940686,1.3067058892075665
6063,5164106110.0,restaurant,,,,,,,,,,,,Seafood tower,POINT (112.6764626 -7.292208),112.6764626,-7.292208,0.10658606975129702,0.07541829922970213
6064,5164108263.0,restaurant,,,,,,,,,,,,Hallo Surabaya,POINT (112.6675152 -7.2838456),112.6675152,-7.2838456,0.8973370862113805,1.1504553047363524
6065,5164113619.0,restaurant,,,,,,,,,,,,Korbeq,POINT (112.6814282 -7.285142),112.6814282,-7.285142,0.12607698411171364,0.6928534074639877
6090,5199192021.0,restaurant,,,Mo-Su 11:30-22:00,,,,,,,,,Ming Yang,POINT (112.676788 -7.2921337),112.676788,-7.2921337,0.13115123957353741,0.09810405767625222
6091,5199234793.0,restaurant,,,,,,,,,,,,Burg & Burp,POINT (112.6777086 -7.2889156),112.6777086,-7.2889156,0.19431910387960624,0.464319449539498
