,osm_id,amenity,beds,addrcity,opening_ho,shop,addrhousen,addrfull,source,man_made,addrstreet,tourism,rooms,name,geometry,long,lat,nearest_office,nearest_school
6709,5829417585.0,restaurant,,,,,56,,,,Jalan Terusan Surabaya,,,Tahu Telor Cahndeso,POINT (112.614188 -7.9638312),112.614188,-7.9638312,0.7753366418896593,0.7628683333139515
6728,5873191069.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.7753502 -7.3832311),112.7753502,-7.3832311,1.5613264086926595,2.257509248050019
6729,5873191070.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.775141 -7.3828853),112.775141,-7.3828853,1.532154532201294,2.3008506228785803
6730,5873191071.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.693408 -7.4260584),112.693408,-7.4260584,0.05239127820196868,1.3916702192867583
6731,5873197056.0,cafe,,,07:00-23:00,,,,,,,,,Starbucks,POINT (112.7673519 -7.2797036),112.7673519,-7.2797036,0.11080170662400203,0.5075580279870769
6732,5873197057.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.7394783 -7.2617762),112.7394783,-7.2617762,0.030672729719180544,0.4748752020747836
6733,5873197058.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.7383465 -7.2612547),112.7383465,-7.2612547,0.14624719548684303,0.402474431424828
6734,5873197059.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.7392584 -7.2631864),112.7392584,-7.2631864,0.027667193560623388,0.40558614186725134
6735,5873197060.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.7379978 -7.2622711),112.7379978,-7.2622711,0.18548910156253348,0.30483773371828565
6736,5873197061.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.7301228 -7.2945388),112.7301228,-7.2945388,0.4665066662605458,0.7348923776057941
6737,5873197062.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.805863 -7.2768993),112.805863,-7.2768993,0.2576871922829411,3.3984116555319286
6745,5887512049.0,cafe,,Gresik,24/7,,Y8,,,,jl. delima,,,Warung Makan Delima,POINT (112.5555459 -7.2296524),112.5555459,-7.2296524,1.7863896143109999,0.4196755149409533
6777,5897591806.0,restaurant,,,,,,,,,,,,Halim Restaurant,POINT (112.7576061 -7.2782908),112.7576061,-7.2782908,0.03764128746938808,0.783647274492094
6787,5897591816.0,cafe,,,,,,,,,,,,Titik Kumpul,POINT (112.7647984 -7.2779716),112.7647984,-7.2779716,0.09488891364833033,0.8077857338319214
6788,5897591823.0,restaurant,,,,,,,,,,,,Sendai,POINT (112.765646 -7.2774208),112.765646,-7.2774208,0.10919198966235052,0.7336616779673607
6789,5897591824.0,restaurant,,,,,,,,,,,,Sate Ayam Cak Arto,POINT (112.7656299 -7.2775219),112.7656299,-7.2775219,0.0978875384064342,0.7318768676005412
6791,5897591826.0,restaurant,,,,,,,,,,,,365 Shanghai,POINT (112.7656138 -7.2776071),112.7656138,-7.2776071,0.08833855019321747,0.7307731151787853
6792,5897591827.0,restaurant,,,,,,,,,,,,Huang Table,POINT (112.7655575 -7.2780514),112.7655575,-7.2780514,0.03888061549692761,0.7240665660359246
6793,5897591828.0,restaurant,,,,,,,,,,,,Tip Top,POINT (112.7655441 -7.2781578),112.7655441,-7.2781578,0.027074587639072376,0.7229460836754515
6794,5897591829.0,restaurant,,,,,,,,,,,,Ikan Bakar Cianjur,POINT (112.7655253 -7.2782988),112.7655253,-7.2782988,0.011616321359341123,0.7218718990602183
6798,5897591833.0,restaurant,,,,,,,,,,,,Mie GNI Jember,POINT (112.765815 -7.2793631),112.765815,-7.2793631,0.011766999939453666,0.6771665464982485
6799,5897591834.0,restaurant,,,,,,,,,,,,Liu Fu,POINT (112.7658257 -7.2792753),112.7658257,-7.2792753,0.021509465191009963,0.6763208945103933
6800,5897591835.0,restaurant,,,,,,,,,,,,Idaman,POINT (112.7658364 -7.2791502),112.7658364,-7.2791502,0.035391044697368985,0.675859933348882
6801,5897591838.0,restaurant,,,,,,,,,,,,Ayam Goreng President,POINT (112.7659169 -7.2786766),112.7659169,-7.2786766,0.05135799457561793,0.6723252062039808
6802,5897591839.0,restaurant,,,,,,,,,,,,Fajar,POINT (112.7659222 -7.2785596),112.7659222,-7.2785596,0.045494735983524756,0.6736864448575131
6803,5897591841.0,restaurant,,,,,,,,,,,,Depot 539,POINT (112.7659464 -7.2782616),112.7659464,-7.2782616,0.04736402168029721,0.6771033338054574
6806,5897591844.0,restaurant,,,,,,,,,,,,Happy Suzy,POINT (112.7659625 -7.278094),112.7659625,-7.278094,0.057681477668082085,0.6794572332536208
6807,5897591845.0,restaurant,,,,,,,,,,,,Slice of Cali,POINT (112.7659839 -7.2778226),112.7659839,-7.2778226,0.08063577804169032,0.6848229379942835
6810,5897591852.0,restaurant,,,,,,,,,,,,Mutiara,POINT (112.7649486 -7.278384),112.7649486,-7.278384,0.0654942920225258,0.7829230440384806
6811,5897591853.0,restaurant,,,,,,,,,,,,Pondok Khas Jenggala,POINT (112.7717373 -7.281127),112.7717373,-7.281127,0.035787634781428414,0.17805334671602707
6812,5897591854.0,restaurant,,,,,,,,,,,,Depot Pak Bas,POINT (112.7720001 -7.2815447),112.7720001,-7.2815447,0.08698153634073134,0.22284907027411266
6814,5897591856.0,cafe,,,,,,,,,,,,Rollaas,POINT (112.7734619 -7.280853),112.7734619,-7.280853,0.08024930480980591,0.22239012087792043
6818,5897591860.0,fast_food,,,10:00-00:00,,,,,,,,,Texas Chicken,POINT (112.776812 -7.2808902),112.776812,-7.2808902,0.09645960769719367,0.3611913519549244
6824,5897591868.0,restaurant,,,,,,,,,,,,Yung Ho,POINT (112.7644148 -7.2800734),112.7644148,-7.2800734,0.018018385615203848,0.8337001982441767
6826,5897591870.0,restaurant,,,,,,,,,,,,Bekyu,POINT (112.765359 -7.2801799),112.765359,-7.2801799,0.09331692623572804,0.7308068911404
6827,5897591871.0,restaurant,,,,,,,,,,,,Hakata Ikkousha,POINT (112.7654904 -7.2801878),112.7654904,-7.2801878,0.08715105394440181,0.716456442806593
6828,5897591872.0,restaurant,,,,,,,,,,,,Terminal,POINT (112.765646 -7.2801985),112.765646,-7.2801985,0.08275344695151211,0.6994887004139516
6831,5897591875.0,restaurant,,,,,,,,,,,,Istana Berkat,POINT (112.767714 -7.2803634),112.767714,-7.2803634,0.09549688549633381,0.47620579588101064
6832,5897591876.0,restaurant,,,,,,,,,,,,Primarasa,POINT (112.7679151 -7.2804699),112.7679151,-7.2804699,0.09021468510537128,0.456971672098119
6833,5897591877.0,restaurant,,,,,,,,,,,,Asian King,POINT (112.7685696 -7.2804911),112.7685696,-7.2804911,0.08213691293159507,0.38757474533482805
6834,5897591878.0,restaurant,,,,,,,,,,,,Steak Hut,POINT (112.7688915 -7.2805257),112.7688915,-7.2805257,0.10164554943792548,0.3546927338611587
6835,5897591879.0,restaurant,,,,,,,,,,,,Warung Wakaka,POINT (112.7691919 -7.2805603),112.7691919,-7.2805603,0.09354870285060848,0.3246444853509292
6836,5897591880.0,restaurant,,,,,,,,,,,,Hot Pot Town,POINT (112.7705571 -7.280704),112.7705571,-7.280704,0.1208835806610181,0.200827924735953
6838,5897591882.0,food_court,,,,,,,,,,,,Resto Park Cafe,POINT (112.7710077 -7.2808237),112.7710077,-7.2808237,0.08055527889835395,0.17654477542335392
6842,5897593890.0,fast_food,,,24/7,,,,,,,,,KFC,POINT (112.7698021 -7.2806361),112.7698021,-7.2806361,0.07671625440169182,0.2663536929525075
6844,5897593892.0,restaurant,,,,,,,,,,,,Shao Kao,POINT (112.7770856 -7.2801878),112.7770856,-7.2801878,0.033210281787723096,0.44421703986198
6846,5897593894.0,restaurant,,,,,,,,,,,,Holycow,POINT (112.7783892 -7.2801932),112.7783892,-7.2801932,0.09040020499942457,0.5042871787640918
6847,5897593895.0,restaurant,,,,,,,,,,,,Botanika,POINT (112.7749291 -7.2802038),112.7749291,-7.2802038,0.01787345496887564,0.33784975791839644
6849,5897593897.0,restaurant,,,,,91,,,,Jalan Manyar Kertoarjo,,,Seigo,POINT (112.7715924 -7.2801187),112.7715924,-7.2801187,0.07738543254034556,0.07581690712114501
6850,5897593898.0,restaurant,,,,,89,,,,Jalan Manyar Kertoarjo,,,HC Resto,POINT (112.7714359 -7.2801104),112.7714359,-7.2801104,0.08353776965326884,0.085286028121461
6851,5897593899.0,restaurant,,,,,,,,,,,,Bima,POINT (112.7706161 -7.279967),112.7706161,-7.279967,0.09333810100682188,0.1544768745003035
6852,5897593900.0,restaurant,,,,,,,,,,,,Malioboro,POINT (112.7704793 -7.2800149),112.7704793,-7.2800149,0.07859624663579019,0.1704825912694314
6855,5897593904.0,restaurant,,,,,,,,,,,,New Royal Restaurant,POINT (112.7679071 -7.2797515),112.7679071,-7.2797515,0.04926926486061399,0.4465566906117738
6857,5897593906.0,restaurant,,,,,,,,,,,,HaoXiongDi Chinese Restaurant & Hotpot Town,POINT (112.7682182 -7.2797861),112.7682182,-7.2797861,0.014820004218362099,0.41250295602013715
6858,5897593907.0,restaurant,,,,,,,,,,,,Magal BBQ,POINT (112.767545 -7.2796637),112.767545,-7.2796637,0.09008433620607048,0.4860964044998446
6859,5897593908.0,restaurant,,,10:00-23:00,,,,,,,,,Pizza Hut,POINT (112.7664077 -7.2795493),112.7664077,-7.2795493,0.06604308589324351,0.6114663963730739
6861,5912420218.0,restaurant,,,,,,,,,,,,Galbisal,POINT (112.7690652 -7.2805409),112.7690652,-7.2805409,0.10221981348884196,0.33706463969883005
6862,5913545785.0,cafe,,,,,,,,,,,,Cafe Willis,POINT (112.6210244 -7.9726345),112.6210244,-7.9726345,0.3117754567442697,0.12032384358494452
6864,5913556085.0,restaurant,,,,,12,,,,Jalan Telomoyo,,,Madame Wang Secret Garden,POINT (112.6189768 -7.9728577),112.6189768,-7.9728577,0.27971676600770273,0.032915855429417114
6910,6003523074.0,cafe,,Tuban,,,,,,,,,,Cafe Numani,POINT (112.0694256 -6.9004124),112.0694256,-6.9004124,0.13809914981196142,0.6855400243084885
6917,6003563459.0,cafe,,Tuban,,,,,,,Karangagung,,,Warkop Giras,POINT (112.1697319 -6.9005176),112.1697319,-6.9005176,0.06030716122710555,0.29265683833672135
6931,6004391908.0,fast_food,,Tuban,,,,,,,Jl. Raya Palang,,,Jajanku,POINT (112.1538179 -6.89965),112.1538179,-6.89965,0.11542184457248769,0.054320488381692664
6940,6004540396.0,restaurant,,Tuban,,,,,,,Gesik Harjo,,,Rumah Makan Sunset,POINT (112.1302909 -6.9023736),112.1302909,-6.9023736,2.5022402641712933,2.6140076778664127
6954,6009368833.0,restaurant,,,,,,,,,,,,Dunkin' Donuts,POINT (112.632053 -7.9819314),112.632053,-7.9819314,0.024074894478494854,0.6344917628040333
6972,6046050793.0,cafe,,,,,,,,,,,,kantin tapay,POINT (112.7505271 -7.0259951),112.7505271,-7.0259951,5.869526384340047,2.110623308414246
6977,6048546034.0,restaurant,,,,,,,,,,,,Waroeng Daoen,POINT (112.7268738 -7.8120039),112.7268738,-7.8120039,4.209642714680679,11.322821024407478
6984,6071918567.0,fast_food,,Lumajang,Mo-Sa 08:00-18:00,,24a,,,,Jl. Semeru,,,Latansa Brownies and Catering,POINT (113.2138465 -8.1310161),113.2138465,-8.1310161,1.3047825320680837,1.1369573721173662
6990,6123924347.0,cafe,,,,,,,,,,,,Maxx Coffee,POINT (112.7499001 -7.2619186),112.7499001,-7.2619186,0.08366281223565751,0.4729444576395024
6991,6123924348.0,cafe,,,,,,,,,,,,Excelso,POINT (112.7497901 -7.2618108),112.7497901,-7.2618108,0.07308586601032165,0.46234930928228596
6992,6123924349.0,cafe,,,,,,,,,,,,Anomali Coffee,POINT (112.750348 -7.2621593),112.750348,-7.2621593,0.12007284091542089,0.4977020785778968
6993,6123924350.0,cafe,,,,,,,,,,,,Oh Gelato & Cafe,POINT (112.7510521 -7.2604671),112.7510521,-7.2604671,0.14700481986112418,0.3218662786526521
6994,6123924351.0,restaurant,,,,,,,,,,,,Mie Jogging,POINT (112.7492724 -7.2613771),112.7492724,-7.2613771,0.07509632383088505,0.42607501043491175
7009,6154038472.0,cafe,,,,,,,,,,,,Renekopi,POINT (112.7215186 -7.3087693),112.7215186,-7.3087693,0.2671284665416889,0.9470901644783609
7014,6173243691.0,restaurant,,,,,,,,,,,,Bu Kris,POINT (112.7466239 -7.2696989),112.7466239,-7.2696989,0.03115058620273637,0.7052567561175223
7022,6207015385.0,restaurant,,,,,,,,,,,,Ayam Geprek Babadan,POINT (111.5027546 -7.8166804),111.5027546,-7.8166804,2.3926336175614153,6.365616655566554
7023,6207017955.0,restaurant,,,,,,,,,,,,Warung Nasi Pecel Bu Yuliana,POINT (111.5064628 -7.8171534),111.5064628,-7.8171534,2.2792583841666745,6.261351808231302
7024,6207017956.0,restaurant,,,,,,,,,,,,Warung Soto Mak Nah,POINT (111.5061382 -7.8168212),111.5061382,-7.8168212,2.256094156455525,6.2393394715946755
7026,6214815967.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.7406183 -7.2630241),112.7406183,-7.2630241,0.033304162456082934,0.4729480676622125
7027,6214815968.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.7375364 -7.3388087),112.7375364,-7.3388087,0.21556383177654392,0.4886746901635142
7028,6214815969.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.7485067 -7.2652191),112.7485067,-7.2652191,0.0913362567473204,0.8587898454200124
7029,6214815970.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.7338484 -7.2556672),112.7338484,-7.2556672,0.3769067591086412,0.41483428388018406
7030,6214815971.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.6617667 -7.2510215),112.6617667,-7.2510215,0.38084404580107,1.1843526554031956
7043,6296236163.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.7810472 -7.3144389),112.7810472,-7.3144389,0.963421376940412,0.9452158065415487
7044,6296251692.0,fast_food,,,,,,,,,,,,Burger King,POINT (112.7813973 -7.3171232),112.7813973,-7.3171232,0.6958682544047963,0.917069823479913
7045,6296251693.0,restaurant,,,10:00-22:00,,,,,,,,,Pizza Hut,POINT (112.7812564 -7.3169157),112.7812564,-7.3169157,0.7234904768836393,0.9281793891952024
7076,6358934715.0,restaurant,,,Mo-Su 09:00-12:00,,,,,,,,,Pecel Mangaps,POINT (112.6075786 -7.2281988),112.6075786,-7.2281988,0.6973088254062314,0.7866372323573858
7078,6358934717.0,cafe,,,,,,,,,,,,Bakso Sumberejo,POINT (112.6071113 -7.2277435),112.6071113,-7.2277435,0.7692419985316562,0.856804726443258
7086,6363976422.0,cafe,,"Klampis Ngasem, Sukolilo, Surabaya",,,,,,,Jalan Arief Rahman Hakim,,,Warung Polisi (Warpol),POINT (112.7756865 -7.2894573),112.7756865,-7.2894573,0.33619046976793393,0.6002628481365367
7087,6363980464.0,restaurant,,,,,,,,,,,,Nelongso,POINT (112.7768011 -7.2894012),112.7768011,-7.2894012,0.3518531717393074,0.6012171758369189
7114,6397255490.0,cafe,,"Menur Pumpungan, Sukolilo, Surabaya, East Java",Mo-Su 09:00-21:00,,No.33,,,,Jalan Menur Pumpungan,,,coffy toffy manyar,POINT (112.7631233 -7.2892193),112.7631233,-7.2892193,0.5294267705489856,1.2088916998794916
7116,6401867769.0,restaurant,,,,,,,,,,,,Lesehan Ayu,POINT (110.9445854 -8.102376),110.9445854,-8.102376,7.876923984477875,7.914953551418715
7119,6403215861.0,restaurant,,,,,,,,,,,,Sito's Pizza and Bar,POINT (110.972434 -8.2360301),110.972434,-8.2360301,7.97037173462,7.667080057592582
7132,6409346562.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.7808205 -7.2760014),112.7808205,-7.2760014,0.46576634156049623,1.0397519058536362
7133,6409412885.0,cafe,,,,,,,,,,,,"Kedai Robara (Roti bakar, coffee)",POINT (112.6208076 -7.9581503),112.6208076,-7.9581503,0.6641672546798856,1.5449224583303345
7140,6417117691.0,fast_food,,,,,,,,,,,,KFC,POINT (112.7817097 -7.2766546),112.7817097,-7.2766546,0.38176713209851015,1.0361732147498182
7141,6417117692.0,restaurant,,,,,,,,,,,,Pizza Hut,POINT (112.7819163 -7.2759601),112.7819163,-7.2759601,0.45883342313064635,1.1111172731969499
7245,6466884878.0,cafe,,Desa Ngadimulyo,,,,,,,Jln. Raya Kampak - Munjungan Km.08,,,Cafee Mbah Mo,POINT (111.6378 -8.2096548),111.6378,-8.2096548,26.82640786648194,0.960739747413134
7246,6466884879.0,cafe,,Desa Ngadimulyo,,,,,,,Jln. Raya Pelas,,,Bakso Tolu,POINT (111.6390292 -8.2083708),111.6390292,-8.2083708,26.724563028613105,1.0247486471984824
7255,6476872040.0,restaurant,,Madiun,,,46,,,,Jalan Kalimantan,,,MAHARANI,POINT (111.5204767 -7.6263565),111.5204767,-7.6263565,0.18448686728792887,0.10253399583828667
7273,6495308532.0,restaurant,,,,,,,,,Jalan Dharmawangsa,,,Al's Pizza,POINT (112.7561993 -7.2710607),112.7561993,-7.2710607,0.1771486438058134,0.3295456430067752
7274,6495308533.0,cafe,,,,,,,,,,,,Janji Jiwa,POINT (112.7562516 -7.2706004),112.7562516,-7.2706004,0.20004457112393248,0.33319106033999635
7328,6584714063.0,internet_cafe,,,,,,,,,,,,Master Net,POINT (112.7685101 -7.2558567),112.7685101,-7.2558567,0.6584240332877016,0.6766147217087809
7329,6585930978.0,restaurant,,Surabaya,"Tuesday - Sunday , Lunch and Dinner",,85-89,,,,Jalan Embong Malang,,,Uppercut Steakhouse,POINT (112.7348007 -7.2598355),112.7348007,-7.2598355,0.566770371184012,0.4331797832687139
7337,6618395895.0,restaurant,,,,,,,,,,,,Cafetaria Informatika,POINT (112.7970102 -7.2800122),112.7970102,-7.2800122,0.9657745886016492,2.3700427287756827
7340,6621178651.0,restaurant,,,,,,,,,,,,Hacienda,POINT (112.7380824 -7.2621357),112.7380824,-7.2621357,0.1835924446107346,0.3205800269808708
7341,6621178652.0,restaurant,,,,,,,,,,,,Play Domicile,POINT (112.7379781 -7.2623932),112.7379781,-7.2623932,0.1780697889117193,0.2963128851866595
7342,6621178653.0,cafe,,Surabaya,,,Unit 22-23,,,,,,,The Coffee Bean & Tea Leaf,POINT (112.7381244 -7.2625788),112.7381244,-7.2625788,0.1525743602849407,0.3018717033505567
7343,6621178654.0,ice_cream,,,,,,,,,,,,Baskin-Robbins,POINT (112.7380786 -7.2625535),112.7380786,-7.2625535,0.15828213916060663,0.2983831381743054
7344,6621178655.0,ice_cream,,,,,,,,,,,,Häagen-Dazs,POINT (112.7383726 -7.2626116),112.7383726,-7.2626116,0.12955984336066534,0.32587647736057057
7368,6681977561.0,restaurant,,,,,,,,,,,,Primarasa,POINT (112.737187 -7.2825112),112.737187,-7.2825112,0.06822535191085821,0.08060930860277686
7369,6681977562.0,restaurant,,,,,,,,,,,,Bogowonto,POINT (112.7327077 -7.2873507),112.7327077,-7.2873507,0.3229258752909839,0.5849563421166882
7370,6681977563.0,restaurant,,,,,,,,,,,,Sop Buntut Gelora Pancasila,POINT (112.7319621 -7.2871539),112.7319621,-7.2871539,0.3473258713538306,0.5068967110349577
7371,6681993566.0,cafe,,,Mo-Su 10:00-23:00,,,,,,Jalan Opak,,,Thirty3 Brew,POINT (112.7327551 -7.2861002),112.7327551,-7.2861002,0.20163537988379354,0.5192995317401455
7372,6681993567.0,restaurant,,,Mo-Su 11:00-24:00,,,,,,Jalan Opak,,,Matchbox Too,POINT (112.7327015 -7.2860018),112.7327015,-7.2860018,0.19730505336309836,0.5095279632863512
7373,6681993568.0,restaurant,,,Mo-Su 10:00-22:00,,,,,,Jalan Opak,,,Onni House,POINT (112.7330421 -7.2858741),112.7330421,-7.2858741,0.16243728197834656,0.5392941281093591
7374,6681993569.0,restaurant,,,Mo-Su 11:00-22:00,,,,,,Jalan Opak,,,Goodstone,POINT (112.7331655 -7.2860843),112.7331655,-7.2860843,0.17487143966057098,0.5603585171748766
7375,6681993570.0,restaurant,,,Mo-Su 10:00-22:00,,,,,,Jalan Opak,,,Urban Wagyu,POINT (112.7332218 -7.286196),112.7332218,-7.286196,0.18317987086200183,0.5708089958406406
7376,6681993571.0,cafe,,,,,,,,,,,,Seventies Coffee,POINT (112.7329429 -7.2856692),112.7329429,-7.2856692,0.1522860175713162,0.5214957906671372
7378,6681993573.0,cafe,,,Mo-Su 08:00-22:00,,,,,,,,,Locaāhands,POINT (112.7332299 -7.2871804),112.7332299,-7.2871804,0.2855393689979193,0.6219573459476984
7379,6681993574.0,restaurant,,,,,,,,,,,,Guilin,POINT (112.7329053 -7.2866829),112.7329053,-7.2866829,0.24686758316585924,0.563042209644152
7380,6681993575.0,restaurant,,,,,,,,,,,,A Fung,POINT (112.7317399 -7.2849016),112.7317399,-7.2849016,0.24106193632268116,0.37082366344249995
7381,6681993576.0,restaurant,,,,,,,,,,,,The Pianoza,POINT (112.7320081 -7.2847926),112.7320081,-7.2847926,0.21061329048267044,0.3976369387489774
7382,6684216707.0,restaurant,,,"Mo-Th, Su 08:00-21:30; Fr 08:00-17:00; Sa 18:00-22:00",,6,,,,Jalan Raya Lembah Dieng,,,Lafferie,POINT (112.6032221 -7.9703987),112.6032221,-7.9703987,0.6893550998702134,0.6767750441882332
7404,6688439491.0,cafe,,,,,,,,,,,,Koffie Time Cafe Resto,POINT (112.1716262 -8.0976166),112.1716262,-8.0976166,0.09632064487640794,0.15505369154602833
7409,6696505450.0,restaurant,,,Mo-Su 08:00-21:00,,22-24,,,,Jalan Sunandar Priyo Sudarmo,,,Vegan Mie pPanjang,POINT (112.6456811 -7.9538307),112.6456811,-7.9538307,0.24304861727842508,0.9876234649568301
7410,6696660122.0,cafe,,,,,,,,,,,,Noch Coffee,POINT (112.6345537 -7.9752515),112.6345537,-7.9752515,0.2953558062176169,0.12452072473235433
7443,6758593411.0,restaurant,,,,,,,,,,,,DPT KEDAWUNG,POINT (112.6385522 -7.9528037),112.6385522,-7.9528037,0.36560368167145485,0.7754679918322879
7484,6764282654.0,cafe,,Banyuwangi,,,,,,,Jl. Yos Sudarso,,,Batok Coffee,POINT (114.3815191 -8.1829149),114.3815191,-8.1829149,1.3574389262502278,2.2139403466276635
7566,6796230060.0,restaurant,,,Mo-Su 09:00-21:00,,2F,,,,Jalan Merdeka Timur,,,Martabak Agung Resto,POINT (112.6318818 -7.9834904),112.6318818,-7.9834904,0.18769213707201574,0.5806332911735611
7574,6806678496.0,restaurant,,,,,,,,,,,,Sanger,POINT (112.7605858 -7.2699243),112.7605858,-7.2699243,0.3830318464589802,0.22454930926325153
7575,6806679939.0,fast_food,,,,,,,,,,,,Jank Jank Wings,POINT (112.7562076 -7.2725872),112.7562076,-7.2725872,0.18315340643763342,0.3530449492327222
7576,6806679940.0,cafe,,,,,,,,,,,,Diskuupi,POINT (112.7562049 -7.2725287),112.7562049,-7.2725287,0.18026476495820004,0.3509239680528175
7577,6806679941.0,cafe,,,,,,,,,,,,Hi Coffee,POINT (112.7562049 -7.2726524),112.7562049,-7.2726524,0.18712013904834743,0.3561119080538508
7579,6806679944.0,restaurant,,,,,,,,,,,,Palapa,POINT (112.7559219 -7.2741397),112.7559219,-7.2741397,0.3248172697974237,0.4707884098313616
7580,6806679945.0,cafe,,,,,,,,,,,,Lain Hati,POINT (112.7561539 -7.2737805),112.7561539,-7.2737805,0.27762360081820403,0.42573954560486094
7581,6806679946.0,cafe,,,,,,,,,,,,Pukul Satu,POINT (112.7557891 -7.2766819),112.7557891,-7.2766819,0.18171235095849161,0.6950735680866498
7582,6806679947.0,cafe,,,,,,,,,,,,Foresthree,POINT (112.754558 -7.277806),112.754558,-7.277806,0.14284322082328457,0.5780252031947718
7583,6806679948.0,restaurant,,,,,,,,,,,,Ampera,POINT (112.7609866 -7.27199),112.7609866,-7.27199,0.3700786396619773,0.2120729008513482
7585,6806679950.0,cafe,,,,,,,,,,,,Kopi Yor,POINT (112.7608087 -7.2717451),112.7608087,-7.2717451,0.34954729257818407,0.18582989659087076
7586,6806679951.0,cafe,,,,,,,,,,,,Awal Cerita,POINT (112.7608578 -7.2710483),112.7608578,-7.2710483,0.36354512149008095,0.19030283173398163
7593,6811538254.0,cafe,,Surabaya,,,38,,,,Jalan Nginden Semolo,,,Diskuupi 101,POINT (112.7656827 -7.299809),112.7656827,-7.299809,0.11501514947576712,0.15600230480806337
7599,6836766758.0,fast_food,,,,,,,,,,,,A&W,POINT (112.6935627 -7.4185775),112.6935627,-7.4185775,0.11557311756873742,1.5660804855593073
7608,6862762513.0,fast_food,,,,,,,,,,,,Domino's Pizza,POINT (112.7626777 -7.2797122),112.7626777,-7.2797122,0.17793887108578635,0.9999023786194721
7609,6862762514.0,fast_food,,,,,,,,,,,,Container Kebab,POINT (112.7627581 -7.2796989),112.7627581,-7.2796989,0.16956347220074128,1.0020277138746412
7610,6862762515.0,cafe,,,,,,,,,,,,Katalokopi,POINT (112.7561009 -7.2743511),112.7561009,-7.2743511,0.3325037301318224,0.47190407582961647
7611,6862762516.0,restaurant,,,,,,,,,,,,Warung Bu Sri,POINT (112.756235 -7.2706714),112.756235,-7.2706714,0.19655923533753367,0.3330321581436115
7648,6915103809.0,restaurant,,,,,,,,,,,,Pinus Resto,POINT (111.2180297 -7.6660663),111.2180297,-7.6660663,12.190787717919298,16.81158593374961
7653,6919662601.0,restaurant,,,,,,,,,,,,Soto Ayan Hartono,POINT (112.7441582 -7.2525311),112.7441582,-7.2525311,0.47535710452925833,0.3556180878116579
7678,6960986586.0,cafe,,,24/7,,,,,,,,,Warkop Stadion,POINT (112.7228236 -7.3291909),112.7228236,-7.3291909,0.4143561842573775,1.0785516574954863
7679,6960995885.0,cafe,,,24/7,,,,,,,,,Warkop Stadion,POINT (112.7228236 -7.3291909),112.7228236,-7.3291909,0.4143561842573775,1.0785516574954863
7686,6984264493.0,cafe,,Malang,,,7,,,,Jalan Sutan Syahrir,,,Kopi Tuju,POINT (112.6309825 -7.9855925),112.6309825,-7.9855925,0.22171995385199253,0.34496330150212423
7701,7016271175.0,cafe,,,,,,,,,,,,Markaz Dejavoe,POINT (112.2775486 -7.5381707),112.2775486,-7.5381707,0.4402013079053545,0.6428313661461931
7702,7018202761.0,restaurant,,,,,,,,,,,,Haryono Kitchen,POINT (112.746473 -7.2761202),112.746473,-7.2761202,0.11989172635515354,0.3934833869772895
7705,7021477473.0,cafe,,Nganjuk,,,,,,,Jl. Sutoyo,,,Warung Pak Setu,POINT (111.890818 -7.6449043),111.890818,-7.6449043,3.0046812081986243,0.5137787146606622
7736,7111723185.0,cafe,,,Mo-Su 09:30-21:30,,250,,,,Jalan KH Mas Mansyur,,,Mokha Eatery,POINT (112.7410538 -7.2262097),112.7410538,-7.2262097,0.03881923230683913,0.24202535057546973
7818,7135815196.0,cafe,,,,,,,,,,,,Starbucks,POINT (112.6119124 -7.9735364),112.6119124,-7.9735364,0.019894088067643246,0.7760862540865329
7819,7135815197.0,cafe,,,,,,,,,,,,J.Co Coffee and Donuts,POINT (112.6115637 -7.9735257),112.6115637,-7.9735257,0.018626225691550886,0.8144152152346595
7823,7135815201.0,restaurant,,,Mo-Su 10:00-22:00,,,,,,,,,Ichiban Sushi,POINT (112.6118956 -7.9738751),112.6118956,-7.9738751,0.04117696977424242,0.780872360373605
7824,7135815202.0,ice_cream,,,Mo-Su 10:00-22:00,,,,,,,,,Baskin-Robbins,POINT (112.6117454 -7.9739043),112.6117454,-7.9739043,0.0402728618593184,0.7976767896045293
7825,7135815203.0,fast_food,,,,,,,,,,,,Wendy's,POINT (112.611504 -7.9737051),112.611504,-7.9737051,0.03104291951778248,0.8222230545286212
7826,7135815204.0,restaurant,,,Mo-Su 10:00-22:00,,,,,,,,,Rice Bowl,POINT (112.6115576 -7.9736174),112.6115576,-7.9736174,0.02102909982446329,0.8156622691396069
